$ /usr/local/bin/python /root/kot/poc/casc-0/runner/casc0_runner.py --inputs-dir /root/kot/poc/casc-0/inputs --dcasc0-dir /root/kot/data/d-casc0 --out-dir /tmp/casc0-results --device cuda --gpu-class A100
[casc0     0.0s] mode=FULL device=cuda eval_items=300 (d-casc0 rank prefix of 400)
[casc0     0.0s] deranged closure permutation: seed=20260711 sha=426eb7b84747 map={'child': 'sibling', 'parent': 'child', 'sibling': 'parent'}
[casc0   208.5s] cell factorial R2/nl v=0 seed=0 done (208.4s, acc-raw=0.143)
[casc0   402.7s] cell factorial R2/gloss v=0 seed=0 done (194.2s, acc-raw=0.143)
[casc0   589.0s] cell factorial R2/plain v=0 seed=0 done (186.4s, acc-raw=0.127)
[casc0  1076.2s] cell factorial R2/gloss v=1 seed=0 done (487.1s, acc-raw=0.143)
[casc0  1557.6s] cell factorial R2/plain v=1 seed=0 done (481.4s, acc-raw=0.153)
[casc0  1703.6s] cell factorial R3/nl v=0 seed=0 done (146.0s, acc-raw=0.157)
[casc0  1853.6s] cell factorial R3/gloss v=0 seed=0 done (150.0s, acc-raw=0.153)
[casc0  1988.0s] cell factorial R3/plain v=0 seed=0 done (134.4s, acc-raw=0.173)
[casc0  2358.3s] cell factorial R3/gloss v=1 seed=0 done (370.3s, acc-raw=0.160)
[casc0  2687.2s] cell factorial R3/plain v=1 seed=0 done (328.9s, acc-raw=0.207)
[casc0  2874.9s] cell factorial R2/nl v=0 seed=1 done (187.7s, acc-raw=0.143)
[casc0  3070.9s] cell factorial R2/gloss v=0 seed=1 done (196.0s, acc-raw=0.143)
[casc0  3259.0s] cell factorial R2/plain v=0 seed=1 done (188.1s, acc-raw=0.127)
[casc0  3745.1s] cell factorial R2/gloss v=1 seed=1 done (486.1s, acc-raw=0.173)
[casc0  4231.6s] cell factorial R2/plain v=1 seed=1 done (486.4s, acc-raw=0.163)
[casc0  4363.8s] cell factorial R3/nl v=0 seed=1 done (132.3s, acc-raw=0.157)
[casc0  4510.4s] cell factorial R3/gloss v=0 seed=1 done (146.6s, acc-raw=0.153)
[casc0  4645.6s] cell factorial R3/plain v=0 seed=1 done (135.2s, acc-raw=0.173)
[casc0  5026.1s] cell factorial R3/gloss v=1 seed=1 done (380.5s, acc-raw=0.170)
[casc0  5343.2s] cell factorial R3/plain v=1 seed=1 done (317.1s, acc-raw=0.220)
[casc0  5520.7s] cell factorial R2/nl v=0 seed=2 done (177.5s, acc-raw=0.143)
[casc0  5714.3s] cell factorial R2/gloss v=0 seed=2 done (193.7s, acc-raw=0.143)
[casc0  5906.1s] cell factorial R2/plain v=0 seed=2 done (191.8s, acc-raw=0.127)
[casc0  6396.6s] cell factorial R2/gloss v=1 seed=2 done (490.5s, acc-raw=0.160)
[casc0  6869.8s] cell factorial R2/plain v=1 seed=2 done (473.3s, acc-raw=0.147)
[casc0  7003.8s] cell factorial R3/nl v=0 seed=2 done (134.0s, acc-raw=0.157)
[casc0  7152.3s] cell factorial R3/gloss v=0 seed=2 done (148.4s, acc-raw=0.153)
[casc0  7284.9s] cell factorial R3/plain v=0 seed=2 done (132.7s, acc-raw=0.173)
[casc0  7654.6s] cell factorial R3/gloss v=1 seed=2 done (369.6s, acc-raw=0.160)
[casc0  7985.9s] cell factorial R3/plain v=1 seed=2 done (331.3s, acc-raw=0.203)
[casc0  7985.9s] ttc-deflator: N=9 (ref_flops=1.336e+16, nl_flops=9.532e+14; pinned reference cell R2/gloss/verifier-on (fixed pre-registered reference — the raw-kernel Option-A medium, the maintainer's primary; never post-hoc 'best'))
[casc0  9643.6s] cell ttc-deflator R2/nl v=0 seed=0 done (1657.7s, acc-raw=0.133)
[casc0 11324.1s] cell ttc-deflator R2/nl v=0 seed=1 done (1680.5s, acc-raw=0.143)
[casc0 13040.5s] cell ttc-deflator R2/nl v=0 seed=2 done (1716.3s, acc-raw=0.157)
[casc0 13533.3s] cell deranged-control R2/gloss v=1 seed=0 done (492.8s, acc-raw=0.143)
[casc0 14025.3s] cell deranged-control R2/gloss v=1 seed=1 done (492.1s, acc-raw=0.137)
[casc0 14509.0s] cell deranged-control R2/gloss v=1 seed=2 done (483.7s, acc-raw=0.120)
[casc0] OUTCOME: HARNESS-COMPLETE (36 run-record bodies in /tmp/casc0-results/run-records-casc0.jsonl)
[runner exit rc=0]
