batches todo: 100
DONE arrow--contained_in.txt attempts 1
DONE arrow--callees_of.txt attempts 1
DONE arrow--contains.txt attempts 1
DONE arrow--imports_of.txt attempts 1
DONE arrow--where_defined.txt attempts 1
DONE attrs--callees_of.txt attempts 1
DONE attrs--contained_in.txt attempts 1
DONE attrs--contains.txt attempts 1
DONE attrs--where_defined.txt attempts 1
DONE blinker--callees_of.txt attempts 1
DONE attrs--imports_of.txt attempts 1
DONE blinker--contained_in.txt attempts 1
DONE blinker--contains.txt attempts 1
DONE blinker--imports_of.txt attempts 1
DONE blinker--where_defined.txt attempts 1
DONE boltons--callees_of.txt attempts 1
DONE boltons--contains.txt attempts 1
DONE boltons--contained_in.txt attempts 1
DONE boltons--imports_of.txt attempts 1
DONE boltons--where_defined.txt attempts 1
DONE cachetools--callees_of.txt attempts 1
DONE cachetools--contained_in.txt attempts 1
DONE cachetools--contains.txt attempts 1
DONE cachetools--imports_of.txt attempts 1
DONE cachetools--where_defined.txt attempts 1
DONE charset_normalizer--contained_in.txt attempts 1
DONE charset_normalizer--callees_of.txt attempts 1
DONE charset_normalizer--imports_of.txt attempts 1
DONE charset_normalizer--where_defined.txt attempts 1
DONE charset_normalizer--contains.txt attempts 1
DONE dateutil--contained_in.txt attempts 1
DONE dateutil--contains.txt attempts 1
DONE dateutil--callees_of.txt attempts 1
DONE dateutil--imports_of.txt attempts 1
DONE dateutil--where_defined.txt attempts 1
DONE decorator--contained_in.txt attempts 1
DONE decorator--contains.txt attempts 1
DONE decorator--callees_of.txt attempts 1
DONE decorator--where_defined.txt attempts 1
DONE decorator--imports_of.txt attempts 1
DONE humanize--contained_in.txt attempts 1
DONE humanize--callees_of.txt attempts 1
DONE humanize--imports_of.txt attempts 1
DONE humanize--contains.txt attempts 1
DONE humanize--where_defined.txt attempts 1
DONE idna--contained_in.txt attempts 1
DONE idna--callees_of.txt attempts 1
DONE idna--contains.txt attempts 1
DONE idna--imports_of.txt attempts 1
DONE idna--where_defined.txt attempts 1
DONE itsdangerous--contained_in.txt attempts 1
DONE itsdangerous--contains.txt attempts 1
DONE itsdangerous--callees_of.txt attempts 1
DONE itsdangerous--where_defined.txt attempts 1
DONE itsdangerous--imports_of.txt attempts 1
DONE jinja--callees_of.txt attempts 1
DONE jinja--contained_in.txt attempts 1
DONE jinja--imports_of.txt attempts 1
DONE jinja--where_defined.txt attempts 1
DONE markupsafe--contained_in.txt attempts 1
DONE markupsafe--callees_of.txt attempts 1
DONE jinja--contains.txt attempts 1
DONE markupsafe--contains.txt attempts 1
DONE markupsafe--where_defined.txt attempts 1
DONE packaging--callees_of.txt attempts 1
DONE markupsafe--imports_of.txt attempts 1
DONE packaging--contained_in.txt attempts 1
DONE packaging--where_defined.txt attempts 1
DONE packaging--imports_of.txt attempts 1
DONE pluggy--callees_of.txt attempts 1
DONE packaging--contains.txt attempts 1
DONE pluggy--contained_in.txt attempts 1
DONE pluggy--where_defined.txt attempts 1
DONE pluggy--imports_of.txt attempts 1
DONE pluggy--contains.txt attempts 1
DONE python-sortedcontainers--contained_in.txt attempts 1
DONE python-sortedcontainers--callees_of.txt attempts 1
DONE python-sortedcontainers--where_defined.txt attempts 1
DONE python-sortedcontainers--imports_of.txt attempts 1
DONE python-sortedcontainers--contains.txt attempts 1
DONE requests--contained_in.txt attempts 1
DONE requests--contains.txt attempts 1
DONE requests--callees_of.txt attempts 1
DONE requests--where_defined.txt attempts 1
DONE requests--imports_of.txt attempts 1
DONE tenacity--contained_in.txt attempts 1
DONE tenacity--callees_of.txt attempts 1
DONE tenacity--contains.txt attempts 1
DONE tenacity--where_defined.txt attempts 1
DONE tenacity--imports_of.txt attempts 1
DONE tomli--contained_in.txt attempts 1
DONE tomli--callees_of.txt attempts 1
DONE tomli--contains.txt attempts 1
DONE tomli--where_defined.txt attempts 1
DONE tomli--imports_of.txt attempts 1
DONE wrapt--callees_of.txt attempts 1
DONE wrapt--contained_in.txt attempts 1
DONE wrapt--contains.txt attempts 1
DONE wrapt--imports_of.txt attempts 1
DONE wrapt--where_defined.txt attempts 1
all done in 395s
