✓ Initialized. View run at 
https://modal.com/apps/jmwright-045/main/ap-fQQKVq5aNgclIGwjNZ2126
✓ Created objects.
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/modal/modal_e5.py
├── 🔨 Created mount /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/inputs
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/runner/requirements.txt
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/runner/e5_runner.py
├── 🔨 Created mount PythonPackage:modal_common
├── 🔨 Created function run_e5_t4.
└── 🔨 Created function run_e5_a10g.
kot-e5 via Modal: gpu=A10G mock=False (12 staged files, runner 0fadb8b4b14e…)
[e5     3.5s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32
[e5    11.3s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e5    11.3s] sweep arm=true lr=0.0003
[e5    12.0s]     step 0/1000 loss 4.3671
[e5    19.8s]     step 50/1000 loss 4.3214
[e5    27.7s]     step 100/1000 loss 4.1406
[e5    35.4s]     step 150/1000 loss 3.8876
[e5    43.3s]     step 200/1000 loss 3.6271
[e5    50.8s]     step 250/1000 loss 3.4779
[e5    58.5s]     step 300/1000 loss 3.5625
[e5    66.7s]     step 350/1000 loss 3.2518
[e5    74.7s]     step 400/1000 loss 3.3811
[e5    82.4s]     step 450/1000 loss 3.2392
[e5    90.3s]     step 500/1000 loss 3.2003
[e5    98.4s]     step 550/1000 loss 3.1947
[e5   106.5s]     step 600/1000 loss 3.2132
[e5   114.1s]     step 650/1000 loss 3.0701
[e5   122.1s]     step 700/1000 loss 3.0599
[e5   130.0s]     step 750/1000 loss 3.0112
[e5   137.8s]     step 800/1000 loss 2.9704
[e5   145.9s]     step 850/1000 loss 3.2152
[e5   153.6s]     step 900/1000 loss 3.1586
[e5   161.4s]     step 950/1000 loss 3.2285
[e5   169.1s]     step 999/1000 loss 2.9226
[e5   169.5s]   arm=true lr=0.0003 valCE=3.0942
[e5   169.5s] sweep arm=true lr=0.001
[e5   169.7s]     step 0/1000 loss 4.3671
[e5   177.5s]     step 50/1000 loss 4.1268
[e5   185.4s]     step 100/1000 loss 3.7684
[e5   193.1s]     step 150/1000 loss 3.4374
[e5   201.0s]     step 200/1000 loss 3.1479
[e5   208.5s]     step 250/1000 loss 3.0426
[e5   216.2s]     step 300/1000 loss 3.1024
[e5   224.4s]     step 350/1000 loss 2.8584
[e5   232.4s]     step 400/1000 loss 2.9197
[e5   240.1s]     step 450/1000 loss 2.8094
[e5   248.0s]     step 500/1000 loss 2.7434
[e5   256.1s]     step 550/1000 loss 2.7253
[e5   264.2s]     step 600/1000 loss 2.8167
[e5   271.8s]     step 650/1000 loss 2.5901
[e5   279.8s]     step 700/1000 loss 2.6054
[e5   287.7s]     step 750/1000 loss 2.5395
[e5   295.6s]     step 800/1000 loss 2.5348
[e5   303.6s]     step 850/1000 loss 2.7317
[e5   311.4s]     step 900/1000 loss 2.6621
[e5   319.1s]     step 950/1000 loss 2.8226
[e5   326.8s]     step 999/1000 loss 2.3072
[e5   327.2s]   arm=true lr=0.001 valCE=2.6826
[e5   327.2s] sweep arm=true lr=0.003
[e5   327.4s]     step 0/1000 loss 4.3671
[e5   335.2s]     step 50/1000 loss 3.8604
[e5   343.1s]     step 100/1000 loss 3.3756
[e5   350.8s]     step 150/1000 loss 3.1303
[e5   358.7s]     step 200/1000 loss 2.9294
[e5   366.2s]     step 250/1000 loss 2.8594
[e5   374.0s]     step 300/1000 loss 2.8317
[e5   382.1s]     step 350/1000 loss 2.6147
[e5   390.1s]     step 400/1000 loss 2.7228
[e5   397.9s]     step 450/1000 loss 2.6092
[e5   405.7s]     step 500/1000 loss 2.5397
[e5   413.8s]     step 550/1000 loss 2.4902
[e5   421.9s]     step 600/1000 loss 2.6384
[e5   429.5s]     step 650/1000 loss 2.3114
[e5   437.5s]     step 700/1000 loss 2.4321
[e5   445.4s]     step 750/1000 loss 2.3158
[e5   453.3s]     step 800/1000 loss 2.2670
[e5   461.3s]     step 850/1000 loss 2.4466
[e5   469.1s]     step 900/1000 loss 2.4044
[e5   476.8s]     step 950/1000 loss 2.5719
[e5   484.5s]     step 999/1000 loss 2.0348
[e5   484.9s]   arm=true lr=0.003 valCE=2.4470
[e5   484.9s] selected lr=0.003 for arm=true
[e5   484.9s] sweep arm=shuffled lr=0.0003
[e5   485.1s]     step 0/1000 loss 4.3563
[e5   492.9s]     step 50/1000 loss 4.3483
[e5   500.8s]     step 100/1000 loss 4.2210
[e5   508.5s]     step 150/1000 loss 3.9239
[e5   516.4s]     step 200/1000 loss 3.7364
[e5   523.9s]     step 250/1000 loss 3.5417
[e5   531.7s]     step 300/1000 loss 3.6058
[e5   539.8s]     step 350/1000 loss 3.3110
[e5   547.8s]     step 400/1000 loss 3.4760
[e5   555.6s]     step 450/1000 loss 3.3169
[e5   563.4s]     step 500/1000 loss 3.2685
[e5   571.5s]     step 550/1000 loss 3.2520
[e5   579.6s]     step 600/1000 loss 3.2748
[e5   587.2s]     step 650/1000 loss 3.1546
[e5   595.3s]     step 700/1000 loss 3.1854
[e5   603.1s]     step 750/1000 loss 3.2337
[e5   611.0s]     step 800/1000 loss 3.0477
[e5   619.0s]     step 850/1000 loss 3.2851
[e5   626.8s]     step 900/1000 loss 3.2452
[e5   634.5s]     step 950/1000 loss 3.2674
[e5   642.2s]     step 999/1000 loss 3.0775
[e5   642.6s]   arm=shuffled lr=0.0003 valCE=3.2211
[e5   642.6s] sweep arm=shuffled lr=0.001
[e5   642.8s]     step 0/1000 loss 4.3563
[e5   650.6s]     step 50/1000 loss 4.1813
[e5   658.5s]     step 100/1000 loss 3.8694
[e5   666.2s]     step 150/1000 loss 3.5169
[e5   674.1s]     step 200/1000 loss 3.2871
[e5   681.6s]     step 250/1000 loss 3.1641
[e5   689.4s]     step 300/1000 loss 3.2635
[e5   697.5s]     step 350/1000 loss 2.9786
[e5   705.5s]     step 400/1000 loss 3.1212
[e5   713.3s]     step 450/1000 loss 2.9844
[e5   721.1s]     step 500/1000 loss 2.9624
[e5   729.2s]     step 550/1000 loss 2.9005
[e5   737.3s]     step 600/1000 loss 2.9288
[e5   744.9s]     step 650/1000 loss 2.7549
[e5   753.0s]     step 700/1000 loss 2.7627
[e5   760.8s]     step 750/1000 loss 2.8565
[e5   768.7s]     step 800/1000 loss 2.7430
[e5   776.7s]     step 850/1000 loss 2.9315
[e5   784.5s]     step 900/1000 loss 2.8862
[e5   792.2s]     step 950/1000 loss 2.9757
[e5   799.9s]     step 999/1000 loss 2.5968
[e5   800.3s]   arm=shuffled lr=0.001 valCE=2.9068
[e5   800.3s] sweep arm=shuffled lr=0.003
[e5   800.5s]     step 0/1000 loss 4.3563
[e5   808.3s]     step 50/1000 loss 3.8916
[e5   816.2s]     step 100/1000 loss 3.4663
[e5   823.9s]     step 150/1000 loss 3.3138
[e5   831.8s]     step 200/1000 loss 3.1535
[e5   839.3s]     step 250/1000 loss 2.9815
[e5   847.1s]     step 300/1000 loss 3.0828
[e5   855.2s]     step 350/1000 loss 2.8528
[e5   863.2s]     step 400/1000 loss 2.9747
[e5   871.0s]     step 450/1000 loss 2.7871
[e5   878.8s]     step 500/1000 loss 2.7865
[e5   886.9s]     step 550/1000 loss 2.7234
[e5   895.0s]     step 600/1000 loss 2.7778
[e5   902.6s]     step 650/1000 loss 2.5941
[e5   910.7s]     step 700/1000 loss 2.6363
[e5   918.5s]     step 750/1000 loss 2.6148
[e5   926.4s]     step 800/1000 loss 2.5016
[e5   934.4s]     step 850/1000 loss 2.6709
[e5   942.2s]     step 900/1000 loss 2.6774
[e5   949.9s]     step 950/1000 loss 2.7748
[e5   957.6s]     step 999/1000 loss 2.3411
[e5   958.0s]   arm=shuffled lr=0.003 valCE=2.7258
[e5   958.0s] selected lr=0.003 for arm=shuffled
[e5   958.0s] sweep arm=random lr=0.0003
[e5   958.2s]     step 0/1000 loss 4.4049
[e5   966.0s]     step 50/1000 loss 4.4497
[e5   973.9s]     step 100/1000 loss 4.4885
[e5   981.6s]     step 150/1000 loss 4.2350
[e5   989.5s]     step 200/1000 loss 4.1624
[e5   997.0s]     step 250/1000 loss 3.9428
[e5  1004.8s]     step 300/1000 loss 4.0985
[e5  1012.9s]     step 350/1000 loss 3.8109
[e5  1020.9s]     step 400/1000 loss 3.9649
[e5  1028.7s]     step 450/1000 loss 3.7205
[e5  1036.5s]     step 500/1000 loss 3.9250
[e5  1044.6s]     step 550/1000 loss 3.7148
[e5  1052.7s]     step 600/1000 loss 3.7550
[e5  1060.3s]     step 650/1000 loss 3.6473
[e5  1068.4s]     step 700/1000 loss 3.6416
[e5  1076.2s]     step 750/1000 loss 3.6929
[e5  1084.1s]     step 800/1000 loss 3.5211
[e5  1092.1s]     step 850/1000 loss 3.7854
[e5  1099.9s]     step 900/1000 loss 3.7173
[e5  1107.6s]     step 950/1000 loss 3.7598
[e5  1115.3s]     step 999/1000 loss 3.4147
[e5  1115.7s]   arm=random lr=0.0003 valCE=3.7388
[e5  1115.7s] sweep arm=random lr=0.001
[e5  1115.9s]     step 0/1000 loss 4.4049
[e5  1123.7s]     step 50/1000 loss 4.3888
[e5  1131.6s]     step 100/1000 loss 4.3408
