$ /usr/local/bin/python /root/kot/poc/e9/runner/e9_runner.py --inputs-dir /root/kot/poc/e9/inputs --out-dir /tmp/e9-results --device cuda
[e9     3.2s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32 arms=['true', 'shuffled', 'defl']
[e9    10.2s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e9    10.2s] sweep arm=true lr=0.0003
[e9    10.9s]     step 0/1000 loss 4.3671
[e9    18.6s]     step 50/1000 loss 4.3214
[e9    26.5s]     step 100/1000 loss 4.1406
[e9    34.2s]     step 150/1000 loss 3.8876
[e9    42.1s]     step 200/1000 loss 3.6271
[e9    49.6s]     step 250/1000 loss 3.4779
[e9    57.4s]     step 300/1000 loss 3.5625
[e9    65.5s]     step 350/1000 loss 3.2518
[e9    73.5s]     step 400/1000 loss 3.3811
[e9    81.2s]     step 450/1000 loss 3.2392
[e9    89.1s]     step 500/1000 loss 3.2003
[e9    97.1s]     step 550/1000 loss 3.1947
[e9   105.2s]     step 600/1000 loss 3.2132
[e9   112.8s]     step 650/1000 loss 3.0701
[e9   120.8s]     step 700/1000 loss 3.0599
[e9   128.6s]     step 750/1000 loss 3.0112
[e9   136.5s]     step 800/1000 loss 2.9704
[e9   144.5s]     step 850/1000 loss 3.2152
[e9   152.3s]     step 900/1000 loss 3.1586
[e9   160.0s]     step 950/1000 loss 3.2285
[e9   167.7s]     step 999/1000 loss 2.9226
[e9   168.1s]   arm=true lr=0.0003 valCE=3.0942
[e9   168.1s] sweep arm=true lr=0.001
[e9   168.3s]     step 0/1000 loss 4.3671
[e9   176.0s]     step 50/1000 loss 4.1268
[e9   183.9s]     step 100/1000 loss 3.7684
[e9   191.6s]     step 150/1000 loss 3.4374
[e9   199.5s]     step 200/1000 loss 3.1479
[e9   207.0s]     step 250/1000 loss 3.0426
[e9   214.7s]     step 300/1000 loss 3.1024
[e9   222.8s]     step 350/1000 loss 2.8584
[e9   230.8s]     step 400/1000 loss 2.9197
[e9   238.6s]     step 450/1000 loss 2.8094
[e9   246.4s]     step 500/1000 loss 2.7434
[e9   254.5s]     step 550/1000 loss 2.7253
[e9   262.6s]     step 600/1000 loss 2.8167
[e9   270.1s]     step 650/1000 loss 2.5901
[e9   278.2s]     step 700/1000 loss 2.6054
[e9   286.0s]     step 750/1000 loss 2.5395
[e9   293.9s]     step 800/1000 loss 2.5348
[e9   301.9s]     step 850/1000 loss 2.7317
[e9   309.6s]     step 900/1000 loss 2.6621
[e9   317.3s]     step 950/1000 loss 2.8226
