[18:43:41] workdir=/tmp/judger1p-workdir.TFgU8s
[18:43:42] npx codex banner='codex-cli 0.144.1' global codex banner='codex-cli 0.142.5'
[18:43:42] === PREFLIGHT ===
[18:43:49]   preflight cal:g9lp-1 expected={'substitutable': 'yes', 'cross_translatable': 'yes'} got={'substitutable': 'yes', 'cross_translatable': 'yes'} status=valid pass=True
[18:43:53]   preflight cal:g9lp-2 expected={'substitutable': 'no', 'cross_translatable': 'no'} got={'substitutable': 'no', 'cross_translatable': 'no'} status=valid pass=True
[18:43:53] preflight PASS
[18:43:53] === REAL (50) ===
[18:44:06]   g9s:31 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:44:13]   g9s:19 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:44:23]   g9s:35 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:44:27]   g9s:44 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:44:35]   g9s:01 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:44:42]   g9s:50 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:44:48]   g9s:09 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:45:10]   g9s:48 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:45:33]   g9s:32 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:45:40]   g9s:34 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:45:46]   g9s:33 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:45:53]   g9s:26 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:45:57]   g9s:30 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:46:05]   g9s:42 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:46:11]   g9s:20 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:46:16]   g9s:16 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:46:22]   g9s:25 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:46:32]   g9s:05 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:46:46]   g9s:47 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:46:52]   g9s:27 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:46:58]   g9s:13 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:47:06]   g9s:17 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:47:16]   g9s:02 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:47:23]   g9s:36 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:48:00]   g9s:18 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:48:08]   g9s:22 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:48:13]   g9s:03 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:48:22]   g9s:29 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:48:27]   g9s:11 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:48:40]   g9s:37 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:48:46]   g9s:28 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
