execution_site,main_or_mtp,layer,expert_count,expert_id_min,expert_id_max,shard_first,shard_last,n_shards,tensor_suffixes,has_shared_expert,has_router_gate,reachable_mode
main_model,main,3,256,0,255,out-00037.safetensors,out-00039.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,4,256,0,255,out-00058.safetensors,out-00059.safetensors,2,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,5,256,0,255,out-00078.safetensors,out-00080.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,6,256,0,255,out-00098.safetensors,out-00100.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,7,256,0,255,out-00118.safetensors,out-00120.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,8,256,0,255,out-00137.safetensors,out-00139.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,9,256,0,255,out-00139.safetensors,out-00140.safetensors,2,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,10,256,0,255,out-00000.safetensors,out-00002.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,11,256,0,255,out-00002.safetensors,out-00004.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,12,256,0,255,out-00004.safetensors,out-00006.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,13,256,0,255,out-00006.safetensors,out-00008.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,14,256,0,255,out-00008.safetensors,out-00010.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,15,256,0,255,out-00010.safetensors,out-00011.safetensors,2,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,16,256,0,255,out-00011.safetensors,out-00013.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
main_model,main,17,256,0,255,out-00013.safetensors,out-00015.safetensors,3,gate_proj.weight;gate_proj.weight.qs;up_proj.weight;up_proj.weight.qs;down_proj.weight;down_proj.weight.qs,True,True,routed_replaceable (DRAFT=0)
